crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-3-Clause	BSL-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
anyhow@1.0.100	X							X		
async-notify@0.3.2								X		
atomic-waker@1.1.2	X							X		
autocfg@1.5.0	X							X		
backon@1.6.0	X									
base64@0.22.1	X							X		
bincode@1.3.3								X		
bitflags@2.10.0	X							X		
block-buffer@0.10.4	X							X		
bumpalo@3.19.1	X							X		
bytes@1.11.0								X		
cc@1.2.51	X							X		
cfg-if@1.0.4	X							X		
cfg_aliases@0.2.1								X		
concurrent-queue@2.5.0	X							X		
crossbeam-utils@0.8.21	X							X		
crypto-common@0.1.7	X							X		
digest@0.10.7	X							X		
displaydoc@0.2.5	X							X		
either@1.15.0	X							X		
errno@0.3.14	X							X		
event-listener@5.4.1	X							X		
fastrand@2.3.0	X							X		
find-msvc-tools@0.1.6	X							X		
form_urlencoded@1.2.2	X							X		
fuse3@0.8.1								X		
fuse3_opendal@0.0.19	X									
futures@0.3.31	X							X		
futures-channel@0.3.31	X							X		
futures-core@0.3.31	X							X		
futures-io@0.3.31	X							X		
futures-macro@0.3.31	X							X		
futures-sink@0.3.31	X							X		
futures-task@0.3.31	X							X		
futures-util@0.3.31	X							X		
generic-array@0.14.7								X		
getrandom@0.2.16	X							X		
getrandom@0.3.4	X							X		
gloo-timers@0.3.0	X							X		
home@0.5.11	X							X		
http@1.4.0	X							X		
http-body@1.0.1								X		
http-body-util@0.1.3								X		
httparse@1.10.1	X							X		
hyper@1.8.1								X		
hyper-rustls@0.27.7	X					X		X		
hyper-util@0.1.19								X		
icu_collections@2.1.1									X	
icu_locale_core@2.1.1									X	
icu_normalizer@2.1.1									X	
icu_normalizer_data@2.1.1									X	
icu_properties@2.1.2									X	
icu_properties_data@2.1.2									X	
icu_provider@2.1.1									X	
idna@1.1.0	X							X		
idna_adapter@1.2.1	X							X		
ipnet@2.11.0	X							X		
iri-string@0.7.10	X							X		
itoa@1.0.17	X							X		
jiff@0.2.18								X		X
jiff-tzdb@0.1.5								X		X
jiff-tzdb-platform@0.1.3								X		X
js-sys@0.3.83	X							X		
lazy_static@1.5.0	X							X		
libc@0.2.180	X							X		
linux-raw-sys@0.4.15	X	X						X		
litemap@0.8.1									X	
log@0.4.29	X							X		
md-5@0.10.6	X							X		
memchr@2.7.6								X		X
memoffset@0.9.1								X		
mio@1.1.1								X		
nix@0.29.0								X		
once_cell@1.21.3	X							X		
opendal@0.55.0	X									
parking@2.2.1	X							X		
percent-encoding@2.3.2	X							X		
pin-project-lite@0.2.16	X							X		
pin-utils@0.1.0	X							X		
portable-atomic@1.13.0	X							X		
portable-atomic-util@0.2.4	X							X		
potential_utf@0.1.4									X	
proc-macro2@1.0.105	X							X		
quick-xml@0.38.4								X		
quote@1.0.43	X							X		
r-efi@5.3.0	X						X	X		
reqwest@0.12.28	X							X		
ring@0.17.14	X					X				
rustix@0.38.44	X	X						X		
rustls@0.23.36	X					X		X		
rustls-pki-types@1.13.2	X							X		
rustls-webpki@0.103.8						X				
rustversion@1.0.22	X							X		
ryu@1.0.22	X			X						
serde@1.0.228	X							X		
serde_core@1.0.228	X							X		
serde_derive@1.0.228	X							X		
serde_json@1.0.149	X							X		
serde_urlencoded@0.7.1	X							X		
sharded-slab@0.1.7								X		
shlex@1.3.0	X							X		
signal-hook-registry@1.4.8	X							X		
slab@0.4.11								X		
smallvec@1.15.1	X							X		
socket2@0.6.1	X							X		
stable_deref_trait@1.2.1	X							X		
subtle@2.6.1			X							
syn@2.0.114	X							X		
sync_wrapper@1.0.2	X									
synstructure@0.13.2								X		
tinystr@0.8.2									X	
tokio@1.49.0								X		
tokio-macros@2.6.0								X		
tokio-rustls@0.26.4	X							X		
tokio-util@0.7.18								X		
tower@0.5.2								X		
tower-http@0.6.8								X		
tower-layer@0.3.3								X		
tower-service@0.3.3								X		
tracing@0.1.44								X		
tracing-attributes@0.1.31								X		
tracing-core@0.1.36								X		
trait-make@0.1.0	X							X		
try-lock@0.2.5								X		
typenum@1.19.0	X							X		
unicode-ident@1.0.22	X							X	X	
untrusted@0.9.0						X				
url@2.5.8	X							X		
utf8_iter@1.0.4	X							X		
uuid@1.19.0	X							X		
version_check@0.9.5	X							X		
want@0.3.1								X		
wasi@0.11.1+wasi-snapshot-preview1	X	X						X		
wasip2@1.0.1+wasi-0.2.4	X	X						X		
wasm-bindgen@0.2.106	X							X		
wasm-bindgen-futures@0.4.56	X							X		
wasm-bindgen-macro@0.2.106	X							X		
wasm-bindgen-macro-support@0.2.106	X							X		
wasm-bindgen-shared@0.2.106	X							X		
wasm-streams@0.4.2	X							X		
web-sys@0.3.83	X							X		
webpki-roots@1.0.5					X					
which@6.0.3								X		
windows-link@0.2.1	X							X		
windows-sys@0.52.0	X							X		
windows-sys@0.59.0	X							X		
windows-sys@0.60.2	X							X		
windows-sys@0.61.2	X							X		
windows-targets@0.52.6	X							X		
windows-targets@0.53.5	X							X		
windows_aarch64_gnullvm@0.52.6	X							X		
windows_aarch64_gnullvm@0.53.1	X							X		
windows_aarch64_msvc@0.52.6	X							X		
windows_aarch64_msvc@0.53.1	X							X		
windows_i686_gnu@0.52.6	X							X		
windows_i686_gnu@0.53.1	X							X		
windows_i686_gnullvm@0.52.6	X							X		
windows_i686_gnullvm@0.53.1	X							X		
windows_i686_msvc@0.52.6	X							X		
windows_i686_msvc@0.53.1	X							X		
